address,name
0x004dfb20,SetLinearFilter
0x004dfbb0,TextureData::Blt
0x004c2860,Interpolate
0x004c2a50,D3DTestImage::D3DTestImage
0x004dbc80,D3DTestImage::D3DTestImage
0x004d4050,D3DTestImage
0x004d4060,D3DTestImage::Create
0x004c2a70,D3DTestImage::FreeImage
0x004c2a90,D3DTestImage::FillRect
0x004c2ae0,D3DTestImage::MakeVerticalBands
0x004e4e40,D3DTestImage::CopyToTexture8888
0x004e4f40,D3DTestImage::CopyToTexture4444
0x004e5080,D3DTestImage::DrawPieceToDevice
0x004e5210,D3DTestImage::DrawToDevice
0x004c2b20,D3DTestImage::ColorDistance
0x004c2b80,D3DTestImage::IsUniformColor
0x004c2c20,D3DTestImage::CheckUniformBands
0x004c2cc0,D3DTestHighBit
0x004dcd50,D3DTester::D3DTester
0x004dcdf0,D3DTester
0x004e1410,D3DTester::CheckRegistry
0x004dbcb0,D3DTester::WriteToRegistry
0x004e1890,D3DTester::IsSupportedCard
0x004e52b0,D3DTester::Init
0x004c2d00,D3DTester::Cleanup
0x004e1970,D3DTester::Fail
0x004e1990,D3DTester::Warn
0x004e19b0,D3DTester::CheckDXError
0x004e1b10,D3DTester::CopyPrimaryToTestImage
0x004e5cf0,D3DTester::TestAlphaBlend
0x004e5f80,D3DTester::TestAdditiveBlend
0x004e6210,D3DTester::TestAlphaAddBlend
0x004e64a0,D3DTester::TestAlphaModulate
0x004e6750,D3DTester::TestClipProblem
0x004e6940,D3DTester::DoTest
0x004c2d90,D3DTester::SetVidMemoryConstraints
0x004e6980,D3DTester::TestD3D
0x004e7d10,DDImage::DDImage
0x004e7db0,DDImage::DDImage
0x004e6a50,DDImage
0x004e6ac0,DDImage::Init
0x004d40b0,DDImage::Check3D
0x004c2db0,DDImage::Check3D
0x004d40e0,DDImage::LockSurface
0x004c2de0,DDImage::UnlockSurface
0x004c2e10,DDImage::SetSurface
0x004c3770,DDImage::DeleteDDSurface
0x004d4140,DDImage::ReInit
0x004d4210,DDImage::DeleteExtraBuffers
0x004c3810,DDImage::SetVideoMemory
0x004c3840,DDImage::RehupFirstPixelTrans
0x004c3950,DDImage::GetSurface
0x004e1c50,DDImage::PolyFill3D
0x004e1ca0,DDImage::FillRect
0x004c3970,DDImage::NormalDrawLine
0x004c4a00,DDImage::AdditiveDrawLine
0x004e1d60,DDImage::DrawLine
0x004c5540,DDImage::NormalDrawLineAA
